Year,Mfr Name,COMB MPG,COMB CO2
2018,PORSCHE,21.66216216216216,412.8243243243243
2018,RUF,18.0,497.0
2018,ROLLS-ROYCE,14.0,626.8333333333334
2018,ROUSH,12.0,732.0
2018,SUBARU,25.625,351.625
2018,TOYOTA,25.64210526315789,378.0421052631579
2018,VOLKSWAGEN,22.666666666666668,418.81609195402297
2018,VOLVO,25.45833333333333,348.7916666666667
2018,ASTON MARTIN,17.5,504.0
2017,BMW,23.908396946564885,382.763358778626
2017,FCA US LLC,22.16504854368932,413.24271844660194
2017,FERRARI,15.5,586.8333333333334
2017,FORD,21.65853658536585,429.479674796748
2017,GENERAL MOTORS,21.69942196531792,434.2658959537573
2017,HONDA,28.25454545454545,325.3636363636364
2017,HYUNDAI,27.104166666666668,352.5416666666667
2017,JAGUAR,22.17073170731708,427.4878048780488
