resultId,raceId,constructorId,position
1936,111,1,2
1955,112,6,1
1956,112,4,2
1975,113,6,1
1976,113,1,2
1995,114,3,1
1996,114,1,2
2015,115,6,1
2016,115,3,2
2035,116,3,1
2036,116,3,2
2055,117,3,1
2056,117,3,2
2075,118,6,1
2076,118,3,2
2095,119,3,1
2096,119,1,2
2115,120,4,1
2116,120,1,2
2135,121,6,1
2136,121,3,2
2155,122,6,1
2156,122,1,2
2175,123,6,1
2176,123,1,2
2195,124,6,1
2196,124,3,2
2217,125,3,1
2218,125,3,2
2239,126,6,1
2240,126,3,2
2261,127,6,1
2262,127,6,2
2283,128,6,1
2284,128,3,2
2305,129,6,1
2306,129,6,2
2327,130,1,1
2328,130,6,2
2349,131,6,1
2350,131,1,2
2371,132,6,1
2372,132,6,2
2393,133,6,1
2394,133,6,2
2414,134,6,1
2415,134,1,2
2436,135,6,1
2437,135,3,2
2457,136,6,1
2458,136,6,2
2477,137,6,1
2478,137,6,2
2497,138,6,1
2498,138,6,2
2517,139,6,1
2518,139,6,2
2537,140,6,1
2538,140,6,2
2557,141,6,1
2558,141,1,2
2579,142,6,1
2580,142,6,2
2601,143,1,1
2602,143,6,2
2623,144,3,1
2624,144,1,2
2645,145,6,1
2646,145,3,2
2667,146,1,1
2668,146,6,2
2689,147,6,1
2690,147,6,2
2711,148,3,1
2712,148,6,2
2733,149,6,1
2734,149,3,2
2755,150,6,1
2756,150,3,2
2777,151,1,1
2778,151,6,2
2799,152,3,1
2800,152,6,2
2821,153,6,1
2822,153,6,2
2843,154,6,1
2844,154,1,2
2865,155,3,1
2866,155,6,2
2887,156,1,1
2888,156,6,2
2909,157,6,1
2910,157,3,2
2931,158,6,1
2932,158,6,2
2953,159,6,1
2954,159,22,2
2975,160,6,1
2976,160,1,2
2997,161,1,1
2998,161,1,2
3019,162,1,1
3020,162,1,2
3041,163,6,1
3042,163,1,2
3062,164,1,1
3063,164,6,2
3084,165,6,1
3085,165,6,2
3106,166,1,1
3107,166,1,2
3128,167,1,1
3129,167,1,2
3150,168,6,1
3151,168,1,2
3172,169,1,1
3173,169,6,2
3194,170,1,1
3195,170,6,2
3216,171,6,1
3217,171,1,2
3238,172,6,1
3239,172,6,2
3260,173,6,1
3261,173,1,2
3282,174,6,1
3283,174,1,2
3304,175,6,1
3305,175,17,2
3326,176,1,1
3327,176,6,2
3348,177,6,1
3349,177,1,2
3370,178,6,1
3371,178,6,2
3392,179,1,1
3393,179,1,2
3414,180,1,1
3415,180,22,2
3436,181,17,1
3437,181,1,2
3458,182,1,1
3459,182,6,2
3480,183,6,1
3481,183,1,2
3502,184,6,1
3503,184,6,2
3524,185,1,1
3525,185,1,2
3546,186,1,1
3547,186,1,2
3568,187,17,1
3569,187,3,2
3590,188,24,1
3591,188,20,2
3612,189,6,1
3613,189,6,2
3634,190,1,1
3635,190,6,2
3656,191,1,1
3657,191,1,2
3678,192,1,1
3679,192,1,2
3700,193,6,1
3701,193,1,2
3722,194,1,1
3723,194,6,2
3744,195,1,1
3745,195,1,2
3765,196,1,1
3766,196,22,2
3787,197,6,1
3788,197,22,2
3809,198,6,1
3810,198,6,2
3831,199,6,1
3832,199,1,2
3853,200,1,1
3854,200,1,2
3875,201,1,1
3876,201,1,2
3896,202,6,1
3897,202,1,2
3917,203,17,1
3918,203,17,2
3939,204,6,1
3940,204,6,2
3961,205,1,1
3962,205,6,2
3983,206,1,1
3984,206,6,2
4005,207,1,1
4006,207,6,2
4029,208,3,1
4030,208,22,2
4051,209,3,1
4052,209,6,2
4073,210,3,1
4074,210,6,2
4095,211,6,1
4096,211,24,2
4117,212,3,1
4118,212,20,2
4139,213,6,1
4140,213,22,2
4161,214,6,1
4162,214,3,2
4183,215,3,1
4184,215,22,2
4205,216,22,1
4206,216,6,2
4227,217,3,1
4228,217,21,2
4249,218,6,1
4250,218,17,2
4271,219,1,1
4272,219,22,2
4293,220,3,1
4294,220,1,2
4315,221,3,1
4316,221,22,2
4337,222,6,1
4338,222,3,2
4359,223,1,1
4360,223,1,2
4381,224,3,1
4382,224,3,2
4403,225,3,1
4404,225,22,2
4425,226,3,1
4426,226,3,2
4447,227,3,1
4448,227,6,2
4469,228,3,1
4470,228,6,2
4491,229,27,1
4492,229,1,2
4513,230,6,1
4514,230,22,2
4535,231,3,1
4536,231,3,2
4557,232,3,1
4558,232,3,2
4579,233,3,1
4580,233,22,2
4601,234,3,1
4602,234,22,2
4621,235,3,1
4622,235,3,2
4641,236,6,1
4642,236,3,2
4661,237,6,1
4662,237,22,2
4681,238,3,1
4682,238,3,2
4701,239,3,1
4702,239,6,2
4721,240,22,1
4722,240,3,2
4747,241,3,1
4748,241,6,2
4773,242,3,1
4774,242,6,2
4799,243,22,1
4800,243,22,2
4825,244,22,1
4826,244,3,2
4851,245,6,1
4852,245,17,2
4875,246,22,1
4876,246,3,2
4899,247,22,1
4900,247,6,2
4923,248,22,1
4924,248,3,2
4947,249,3,1
4948,249,3,2
4971,250,22,1
4972,250,3,2
4995,251,22,1
4996,251,1,2
5019,252,3,1
5020,252,22,2
5043,253,22,1
5044,253,6,2
5067,254,22,1
5068,254,3,2
5091,255,22,1
5092,255,1,2
5115,256,3,1
5116,256,27,2
5139,257,22,1
5140,257,3,2
5167,258,22,1
5168,258,6,2
5195,259,22,1
5196,259,6,2
5223,260,22,1
5224,260,1,2
5249,261,3,1
5250,261,22,2
